patientid, geneid, expression_value
patient0,0,1011787.83
patient0,1,541273.24
patient0,2,134552.30
patient0,3,1273563.91
patient0,4,183549.53
patient0,5,809862.92
patient0,6,1248812.91
patient0,7,1302575.23
patient0,8,1307109.17
patient0,9,266154.59
patient0,10,617935.61
patient0,11,672617.14
patient0,12,1995565.57
patient0,13,2001669.67
patient0,14,1049137.84
patient0,15,445660.45
patient0,16,-8839.93
patient0,17,102874.79
patient0,18,-142879.02
patient0,19,1997545.51
patient0,20,445900.41
patient0,21,1916968.39
patient0,22,1471555.64
patient0,23,1865940.38
patient0,24,-84685.35
patient0,25,1036712.72
patient0,26,1076385.88
patient0,27,539432.47
patient0,28,1784472.33
patient0,29,-95698.70
patient0,30,1184817.26
patient0,31,1575733.69
patient0,32,554087.22
patient0,33,1830661.88
patient0,34,1896213.16
patient0,35,406615.70
patient0,36,1352866.82
patient0,37,940139.25
patient0,38,1009111.30
patient0,39,1480013.68
patient0,40,278261.08
patient0,41,1617782.31
patient0,42,-150200.42
patient0,43,925749.00
patient0,44,279791.25
patient0,45,448808.25
patient0,46,-83346.13
patient0,47,1188189.82
patient0,48,231661.93
patient0,49,595509.79
patient0,50,1073004.94
patient0,51,358377.67
patient0,52,1431358.63
patient0,53,1260995.30
patient0,54,1383405.48
patient0,55,155243.98
patient0,56,1288981.62
patient0,57,467393.60
patient0,58,216183.68
patient0,59,1005991.13
patient0,60,398598.90
patient0,61,73206.69
patient0,62,1970069.30
patient0,63,525932.56
patient0,64,1292652.18
patient0,65,1573103.04
patient0,66,-94683.19
patient0,67,1592951.39
patient0,68,490487.37
patient0,69,1323788.99
patient0,70,1527574.45
patient0,71,26713.29
patient0,72,1553590.74
patient0,73,1186518.84
patient0,74,1095120.63
patient0,75,683904.59
patient0,76,839333.77
patient0,77,939917.17
patient0,78,539660.05
patient0,79,993074.60
patient0,80,1020630.92
patient0,81,406000.20
patient0,82,-2623.73
patient0,83,1459931.70
patient0,84,-2627.51
patient0,85,1741220.42
patient0,86,1031125.67
patient0,87,920867.38
patient0,88,1858279.16
patient0,89,1585491.19
patient0,90,1459788.85
patient0,91,1922461.03
patient0,92,1007340.97
patient0,93,1153064.81
patient0,94,1517529.46
patient0,95,142079.44
patient0,96,674254.99
patient0,97,635206.56
patient0,98,215467.02
patient0,99,1908923.36
patient1,0,633171.04
patient1,1,-146183.11
patient1,2,653319.59
patient1,3,1670712.53
patient1,4,392204.23
patient1,5,1940384.79
patient1,6,1161460.08
patient1,7,62711.82
patient1,8,493578.43
patient1,9,1252025.66
patient1,10,1032578.78
patient1,11,-60873.76
patient1,12,1637613.32
patient1,13,395570.75
patient1,14,1269653.38
patient1,15,1505385.67
patient1,16,867970.82
patient1,17,822209.25
patient1,18,1028197.85
patient1,19,464093.22
patient1,20,322605.27
patient1,21,660972.95
patient1,22,385771.71
patient1,23,1864982.44
patient1,24,-68230.08
patient1,25,970537.67
patient1,26,919362.81
patient1,27,1817581.25
patient1,28,1069916.09
patient1,29,934643.77
patient1,30,1707222.92
patient1,31,973851.36
patient1,32,1968931.56
patient1,33,1796127.26
patient1,34,1742762.27
patient1,35,328010.51
patient1,36,1773010.53
patient1,37,1310785.35
patient1,38,355475.37
patient1,39,1437184.19
patient1,40,1540922.92
patient1,41,313734.91
patient1,42,1662769.93
patient1,43,1867255.58
patient1,44,1647426.62
patient1,45,845430.25
patient1,46,601173.56
patient1,47,1922993.76
patient1,48,1485421.94
patient1,49,453656.91
patient1,50,820144.12
patient1,51,1863417.22
patient1,52,1434131.91
patient1,53,1973241.84
patient1,54,1611017.83
patient1,55,603040.63
patient1,56,-118339.44
patient1,57,768127.03
patient1,58,744549.29
patient1,59,1240839.66
patient1,60,173158.70
patient1,61,759790.82
patient1,62,67671.15
patient1,63,1305649.17
patient1,64,545147.55
patient1,65,1373341.48
patient1,66,334657.11
patient1,67,1003525.94
patient1,68,1463987.24
