id, target, position, length, function
0,16,569152261,597,11
1,-1,1407850378,916,265
2,84,414506202,157,30
3,4,104131950,213,232
4,-1,2681644913,900,87
5,27,1373741526,137,761
6,-1,1078446771,748,83
7,-1,2660150085,517,734
8,-1,2873544001,236,747
9,50,1009823009,89,451
10,-1,2995676399,729,484
11,37,831506243,383,587
12,-1,485621740,848,502
13,-1,2452224424,992,517
14,-1,1989603,378,772
15,96,1212527604,73,200
16,42,339407590,865,226
17,0,2468693833,889,72
18,-1,558415170,690,927
19,-1,953339024,693,215
20,78,533159362,473,223
21,44,2634974619,723,977
22,-1,2639727058,656,867
23,-1,661777457,153,706
24,32,2973393015,285,651
25,67,247597910,331,528
26,-1,537522737,272,101
27,77,2168752122,379,656
28,96,194676619,671,885
29,65,1674968001,787,548
30,-1,2246190025,125,66
31,-1,734907994,622,308
32,-1,498635541,456,325
33,-1,1415903978,452,877
34,-1,983581150,215,970
35,39,740917562,853,560
36,60,1449175738,954,10
37,-1,576384674,388,609
38,60,946928492,806,57
39,6,439761811,406,201
40,78,743820369,967,553
41,88,1124965717,332,154
42,-1,2978332781,573,895
43,72,281310583,970,98
44,-1,594701927,891,947
45,83,2614673414,968,24
46,84,1976382334,72,567
47,-1,2808913881,842,762
48,29,577342196,747,716
49,-1,1523702860,192,795
50,60,851673494,25,438
51,-1,57541239,622,84
52,-1,183686539,248,503
53,99,108351242,956,819
54,-1,1314344738,725,528
55,46,2754474895,610,981
56,-1,1302324330,434,651
57,-1,2709179687,978,502
58,63,2898639614,262,639
59,94,336199294,33,384
60,77,544459533,246,894
61,-1,372647253,153,407
62,30,2117638501,874,86
63,61,1215926962,480,710
64,-1,1368473409,551,961
65,77,2465688235,249,326
66,-1,1454285581,176,246
67,-1,1120879664,845,558
68,-1,2529380252,956,926
69,-1,2225855653,43,558
70,-1,980023402,909,938
71,-1,1000882654,881,288
72,65,18273663,300,334
73,24,1707037019,656,995
74,6,1161206808,414,813
75,42,2345155533,657,350
76,2,808448097,243,444
77,56,66935228,546,362
78,53,556940665,816,949
79,18,2948861320,963,100
80,-1,2415206451,555,638
81,-1,1515804794,620,234
82,26,1040110396,827,22
83,4,405510662,35,170
84,46,267446704,544,218
85,-1,2264542765,962,877
86,-1,2391993939,902,448
87,-1,2377131551,854,486
88,-1,147630658,127,621
89,-1,2631073576,715,708
90,-1,2060453856,804,255
91,-1,361182707,98,870
92,91,1691703803,99,162
93,99,1490061707,929,381
94,80,2864452953,31,494
95,-1,1083568162,804,839
96,96,896012582,203,62
97,39,346652057,955,850
98,19,1532189782,350,703
99,-1,1511768951,735,204
